moduleCode,title,semesters
DSA5204,Deep Learning and Applications,[2]
DSA5205,Data Science in Quantitative Finance,[1]
DSA5206,Advanced Topics in Data Science,[3]
DSA5207,Text Processing & Interpretation with Machine Learning,[2]
DSA5208,Scalable Distributed Computing for Data Science,[1]
DSC4214,Co-ordination and Flexibility in SCM,[2]
DSC5221A,Managing the Financial Supply Chain,[2]
DSE1101,Introductory Data Science for Economics,[1]
DSE2313,FOS Undergraduate Professional Internship Programme 2S2,[2]
DSE3101,Practical Data Science for Economics,[2]
DSE3313,FOS Undergraduate Professional Internship Programme 3S2,[2]
DSE4101,Capstone Project in Data Science and Economics I,[2]
DSE4201,Capstone Project in Data Science and Economics II,[2]
DSE4211,Digital Currencies,[2]
DSE4212,Data Science in FinTech,[1]
DSE4231,Topics in Data Science and the Digital Economy,[2]
DSE4313,FOS Undergraduate Professional Internship Programme 4S2,[2]
DSS5101,Principles of Sustainability,[1]
DSS5102,Advanced Regression and Time Series Analysis,[1]
DSS5103,Geospatial Data Analysis,[2]
DSS5104,Machine Learning and Predictive Modelling,[2]
DSS5105,Data Science Projects in Practice,"[1, 2]"
DSS5201,Data Visualisation,[1]
DSS5202,Sustainable Systems Analysis,[1]
DSS5203,ESG Data for Sustainable Finance and Investment,[2]
DSS5210,Research/Industry Project I,[2]
DTK1234,Design Thinking,"[1, 2]"
DTK1234A,Design Thinking,[1]
DTS5701,Large Scale Systems Engineering,[2]
DTS5702,C3 Systems,[1]
DTS5703,Operations Research,[2]
DTS5711,Integration Project,"[1, 2]"
DTS5712,Thesis Project,"[1, 2]"
DTS5731,Fundamentals of Systems Engineering,[2]
DTS5732,Artificial Intelligence and Data Analytics,[2]
DTS5733,Sensors and Intelligence,[2]
DTS5734,Guided Systems,[1]
DTS5735,Cybersecurity,[1]
DTS5736,Systems Design Project,[1]
DY5190,Graduate Seminar Course,"[1, 2]"
DY5310,Endodontics,"[1, 2]"
DY5320,Oral & Maxillofacial Surgery,"[1, 2]"
DY5330,Orthodontics,"[1, 2]"
DY5340,Periodontology,"[1, 2]"
DY5350,Prosthodontics,"[1, 2]"
DY5360,Paediatric Dentistry,"[1, 2]"
EBA5001,Analytics Project Management,"[1, 2]"
EBA5001G,Analytics Project Management,"[1, 2]"
EBA5002,Business Analytics Practice,[1]
EBA5002G,Business Analytics Practice,"[1, 2]"
EBA5003,Customer Analytics,"[1, 2]"
EBA5003G,Customer Analytics,[2]
EBA5004,Practical Language Processing,"[1, 2]"
EBA5004G,Practical Language Processing,"[1, 2]"
EBA5005,Specialized Predictive Modelling and Forecasting,"[1, 2]"
EBA5005G,Specialized Predictive Modelling and Forecasting,"[1, 2]"
EBA5006,Big Data Analytics,"[1, 2]"
EBA5006G,Big Data Analytics,"[1, 2]"
EBA5007,Capstone Project in Data Analytics,"[1, 2]"
EBA5008,Intelligent Financial Risk Management,"[1, 2]"
EBA5008G,Intelligent Financial Risk Management,"[1, 2]"
EC1101E,Introduction to Economic Analysis,"[1, 2]"
EC2101,Microeconomic Analysis I,"[1, 2]"
EC2102,Macroeconomic Analysis I,"[1, 2]"
EC2104,Quantitative Methods for Economic Analysis,"[1, 2]"
EC2205,Economic Analysis of Business,[2]
EC2303,Foundations for Econometrics,"[1, 2]"
EC2374,Economy of Modern China I,[2]
EC2383,Environmental Economics,[2]
EC3101,Microeconomic Analysis II,"[1, 2]"
EC3102,Macroeconomic Analysis II,"[1, 2]"
EC3303,Econometrics I,"[1, 2]"
EC3304,Econometrics II,"[1, 2]"
EC3305,Programming Tools for Economics,[1]
EC3312,Game Theory & Applications to Economics,"[1, 2]"
EC3314,Mathematics for Economists,[1]
EC3322,Industrial Organisation I,[1]
EC3332,Money and Banking I,"[1, 2]"
EC3333,Financial Economics I,"[1, 2]"
EC3342,International Trade I,[2]
EC3343,International Finance I,"[1, 2]"
EC3351,Public Finance,[2]
EC3361,Labour Economics I,[2]
EC3381,Urban Economics,[1]
EC3385,Maritime and Shipping Economics,[4]
EC3391,Evolution of Economic Thought & Analysis,[2]
EC3394,Economics and Psychology,[2]
EC3396,Economic Analysis of Law I,[2]
EC3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
EC3551R,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
EC4301,Microeconomic Analysis III,"[1, 2]"
EC4301HM,Microeconomic Analysis III,[2]
EC4302,Macroeconomic Analysis III,"[1, 2]"
EC4302HM,Macroeconomic Analysis III,"[1, 2]"
EC4304,Economic and Financial Forecasting,"[1, 2]"
EC4304HM,Economic and Financial Forecasting,"[1, 2]"
EC4305,Applied Econometrics,"[1, 2]"
EC4305HM,Applied Econometrics,"[1, 2]"
EC4306,Applied Microeconomic Analysis,"[1, 2]"
EC4306HM,Applied Microeconomic Analysis,"[1, 2]"
EC4307,Issues in Macroeconomics,"[1, 2]"
EC4307HM,Issues in Macroeconomics,"[1, 2]"
EC4308,Machine Learning and Economic Forecasting,"[1, 2]"
EC4308HM,Machine Learning and Economic Forecasting,"[1, 2]"
EC4313,Search Theory and Applications,[1]
EC4313HM,Search Theory and Applications,[1]
EC4324,Economics of Competition Policy,[2]
EC4324HM,Economics of Competition Policy,[2]
EC4331,Monetary Economics and Policy,[1]
EC4331HM,Monetary Economics and Policy,[1]
EC4332,Money and Banking II,[2]
EC4332HM,Money and Banking II,[2]
EC4333,Financial Economics II,"[1, 2]"
EC4333HM,Financial Economics II,"[1, 2]"
EC4342,International Trade II,[1]
EC4342HM,International Trade II,[1]
EC4343,International Finance II,[1]
EC4343HM,International Finance II,[1]
EC4351,Public Economics,[2]
EC4351HM,Public Economics,[2]
EC4352,Singapore Economy: Practice and Policy,[2]
EC4352HM,Singapore Economy: Practice and Policy,[2]
EC4354,Economics of Education,"[1, 2]"
EC4354HM,Economics of Education,"[1, 2]"
EC4361,Big data and Labour Market Analysis,[2]
EC4361HM,Big data and Labour Market Analysis,[2]
EC4362,Immigration Economics,[2]
EC4362HM,Immigration Economics,[2]
EC4371,Development Economics,"[1, 2]"
EC4371HM,Development Economics,"[1, 2]"
EC4372,Technology and Innovation,"[1, 2]"
EC4372HM,Technology and Innovation,"[1, 2]"
EC4383,Environmental Economics and Policy,"[1, 2]"
EC4383HM,Environmental Economics and Policy,"[1, 2]"
EC4394,Behavioural Economics,"[1, 2]"
EC4394HM,Behavioural Economics,"[1, 2]"
EC4398,Economics of Inequality,[1]
EC4398HM,Economics of Inequality,[1]
EC4401,Honours Thesis,"[1, 2]"
EC4401HM,Honours Thesis,"[1, 2]"
EC4660,Independent Study,"[1, 2]"
EC4660HM,Independent Study,"[1, 2]"
EC4880,Topics in Economics,"[1, 2]"
EC4880HM,Topics in Economics,"[1, 2]"
EC5101,Microeconomic Theory,[1]
EC5101R,Microeconomic Theory,[1]
EC5102,Macroeconomic Theory,[1]
EC5102R,Macroeconomic Theory,[1]
EC5103,Econometric Modelling and Applications I,[1]
EC5103R,Econometric Modelling and Applications I,[1]
EC5104,Mathematics for Economists,[1]
EC5104R,Mathematics for Economists,[1]
EC5319,Experimental Economics,[2]
EC5319R,Experimental Economics,[2]
EC5342,International Trade,[1]
EC5342R,International Trade,[1]
EC5387,Issues in Maritime and Shipping Economics,[4]
EC5387R,Issues in Maritime and Shipping Economics,[4]
EC5881,Topics in Microeconomics,[1]
EC5881R,Topics in Microeconomics,[1]
EC6101,Advanced Microeconomic Theory,[2]
EC6102,Advanced Macroeconomic Theory,[2]
EC6103,Econometric Modelling and Applications II,[2]
EC6104,Advanced Mathematics for Economists,[2]
EC6322,Advanced Industrial Organisation,[1]
EC6770,Graduate Research Seminar,"[1, 2]"
EC6880,Topics in Economics,[1]
EC6881,Advanced Topics in Microeconomics,[1]
EC6882,Advanced Topics in Macroeconomics,[1]
EC6883,Advanced Topics in Applied Economics,[2]
EC6884,Behavioral and Experimental Economics,[2]
ECA5101,Microeconomics,[1]
ECA5102,Macroeconomics,[1]
ECA5103,Quantitative & Computing Methods,[1]
ECA5304,Machine Learning and Economic Forecasting,[2]
ECA5305,R Programming for Economists,[1]
ECA5307,Python Programming for Economists,[1]
ECA5313,Topics in Econometrics,[3]
ECA5325,Project & Policy Evaluation,[2]
ECA5333,Financial Markets & Portfolio Management,"[1, 2]"
ECA5334,Corporate Finance,"[1, 2]"
ECA5335,Derivative Securities,[1]
ECA5342,Advanced International Trade,[2]
ECA5343,Advanced International Finance,[2]
ECA5351,Public Finance,[2]
ECA5371,Economic Growth And Development,[1]
ECA5372,Big Data Analytics and Technologies,[2]
ECA5373,The Singapore Economy,[2]
ECA5374,The Modern Chinese Economy,[2]
ECA5375,Economic Growth in East Asia,[1]
ECA5376,Auctions and Market Design,[2]
ECA5381,Urban Economics,[2]
ECA5383,Environmental Economics,[2]
ECA5396,Economics of Business and Law of Intellectual Assets,[2]
ECA5401,Graduate Internship in Applied Economics,"[1, 2]"
ECA5880,Topics in Applied Economics,[2]
ECA5881,Topics in Economic Policy,[3]
ECA5884,Applied Behavioural Economics,[2]
EE1111A,Electrical Engineering Principles and Practice I,[1]
EE1111B,Electrical & Computer Engineering Principles & Practice,[3]
EE2012,Analytical Methods in Electrical and Computer Engineering,"[1, 2]"
EE2022,Electrical Energy Systems,"[1, 2]"
EE2023,Signals and Systems,"[1, 2]"
EE2026,Digital Design,"[1, 2]"
EE2027,Electronic Circuits,"[1, 2]"
EE2028,Microcontroller Programming and Interfacing,"[1, 2]"
EE2111A,Electrical Engineering Principles and Practice II,[2]
EE2211,Introduction to Machine Learning,"[1, 2]"
EE3104C,Introduction to RF and Microwave Systems & Circuits,[1]
EE3105,Beyond Sky - New Space Technology and Applications,[1]
EE3131C,Communication Systems,[2]
EE3305,Robotic System Design,[1]
EE3306,Introduction to Cyber Physical Systems,[1]
EE3331C,Feedback Control Systems,"[1, 2]"
EE3408C,Integrated Analog Design,[1]
EE3431C,Microelectronics Materials and Devices,"[1, 2]"
EE3731C,Signal Analytics,[1]
EE3801,Data Engineering Principles,[1]
EE4001,B.Eng. Dissertation,"[1, 2, 3, 4]"
EE4002D,Design Capstone,"[1, 2, 3, 4]"
EE4002R,Research Capstone,"[1, 2, 3, 4]"
EE4032,Blockchain Engineering,[1]
EE4101,RF Communications,[1]
EE4112,Radio Frequency Design and Systems,[1]
EE4115,Remote Sensing & Analysis with Deep Learning Techniques,[2]
EE4204,Computer Networks,"[1, 2]"
EE4205,Quantum Communication and Cryptography,[2]
EE4211,Data Science for the Internet of Things,[1]
EE4212,Computer Vision,[2]
EE4216,Hardware for Internet of Things,[1]
EE4218,Embedded Hardware System Design,[2]
EE4302,Advanced Control Systems,[1]
EE4303,Industrial Control Systems,[1]
EE4308,Autonomous Robot Systems,[2]
EE4309,Robot Perception,[1]
EE4311,Fuzzy Logic and Neuro Fuzzy Systems,[1]
EE4312,Artificial Neural Networks,[2]
EE4407,Analog Electronics,[1]
EE4409,Modern Microelectronic Devices & Sensors,[2]
EE4415,Integrated Digital Design,[2]
EE4435,Modern Transistors and Memory Devices,[1]
EE4436,Fabrication Process Technology,[1]
EE4437,Photonics - Principles and Applications,[2]
EE4438,Solar Cells and Modules,[2]
EE4501,Power System Management And Protection,[1]
EE4502,Electric Drives & Control,[1]
EE4503,Power Electronics for Sustainable Energy Technologies,[2]
EE4505,Power Semiconductor Devices & ICs,[2]
EE4509,Silicon Micro Systems,[2]
EE4511,Renewable Generation and Smart Grid,[2]
EE4513,Electric Vehicles and their Grid Integration,[2]
EE4704,Image Processing and Analysis,[1]
EE4705,Human-Robot Interaction,[1]
EE4802,Learning from Data,[2]
EE5001,Independent Study Course I,"[1, 2]"
EE5002,Independent Study Course Ii,"[1, 2]"
EE5003,Electrical Engineering Project,"[1, 2]"
EE5020,Data Science for Internet of Things,[2]
EE5021,Cloud based Services for Internet of Things,[2]
EE5022,Cyber Security for Internet of Things,[2]
EE5023,Wireless Networks,[2]
EE5024,IoT Sensor Networks,[2]
EE5025,Intellectual Property: Innovations in IoT,[1]
EE5026,Machine Learning for Data Analytics,[1]
EE5027,Statistical Pattern Recognition,[1]
EE5060,Sensors and Instrumentation for Automation,[1]
EE5061,Industrial Control and Programming,[1]
EE5062,Autonomous Systems,[1]
EE5064,Dynamics and Control of Robot Manipulators,[2]
EE5101,Linear Systems,"[1, 2]"
EE5103,Computer Control Systems,[1]
EE5104,Adaptive Control Systems,[2]
EE5106,Advanced Robotics,[2]
EE5110,Special Topics in Automation and Control,[1]
EE5111,Selected Topics in Industrial Control & Instrumentation,[1]
EE5112,Human Robot Interaction,[1]
EE5114,Autonomous Robot Navigation,[1]
EE5134,Optical Communications and Networks,[2]
EE5135,Digital Communications,[2]
EE5137,Stochastic Processes,[2]
EE5139,Information Theory and its Applications,[1]
EE5303,Microwave Electronics,[1]
EE5308,Antenna Engineering,[1]
EE5311,Differentiable and Probabilistic Computing,[2]
EE5434,Microelectronic Processes and Integration,[2]
EE5439,Micro/Nano Electromechanical Systems,[1]
EE5441,Introduction to Nanoelectronics and Emerging Devices,[2]
EE5442,Memory Technologies and Their Emerging Applications,[2]
EE5502,Mos Devices,[1]
EE5507,Analog Integrated Circuits Design,[2]
EE5508,Semiconductor Fundamentals,"[1, 2]"
EE5517,Optical Engineering,[1]
EE5518,Vlsi Digital Circuit Design,[1]
EE5531,Smart Grid Technologies,[2]
EE5666,Industrial Attachment,"[1, 2]"
EE5702,Advanced Power System Analysis,[1]
EE5703,Industrial Drives,[1]
EE5711,Power Electronic Systems,[2]
EE5713,Modern Power Systems and Smart Grid,[2]
EE5731,Visual Computing,[1]
EE5801,Electromagnetic Compatibility,[2]
EE5831,Electromagnetic Wave Theory,[1]
EE5904,Neural Networks,[2]
EE5907,Pattern Recognition,"[1, 2]"
EE5999,Graduate Seminars,"[1, 2]"
EE6104,Adaptive Control Systems (Advanced),[2]
EE6110,Special Topics in Automation and Control (Advanced),[1]
EE6135,Digital Communications (Advanced),[2]
EE6139,Information Theory and its Applications (Advanced),[1]
EE6437,Advanced Semiconductor Devices,[2]
EE6439,Micro/Nano Electromechanical Systems (Advanced),[1]
EE6440,Advanced Topics in Photonics,[1]
EE6531,Advanced Topics in Smart Grid Technologies,[2]
EE6733,Advanced Topics on Vision and Machine Learning,[1]
EE6831,Advanced Electromagnetic Theory and Applications,[2]
EE6832,Selected Topics in EM Metamaterial and Multiple-Antenna,[2]
EE6934,Deep Learning (Advanced),[2]
EE6990,Research Attachment,"[1, 2]"
EE6999,Doctoral Seminars,"[1, 2]"
EEK5001,Semiconductor Technology and Operations Project I,"[1, 2]"
EEK5003,Semiconductor Technology and Operations Project II,"[1, 2]"
EEK5101,Integrated Circuit Technology and Design Methodology,[1]
EEK5102,"Heterogeneous Integration, IC Packaging and Testing",[2]
EEK5103,Photonic Integrated Circuits,[1]
EEK5104,Bioelectronics,[1]
EEK5105,Semiconductor Materials and Devices,[2]
EEK5106,Semiconductor Yield and Failure Analysis,[1]
EEK5301,Evolution and Transformation of Semiconductor Industry,[1]
EEK5302,Semiconductor Supply Chain and Demand Management,[2]
EEK5888,Semiconductor Technology and Operations Internship,"[1, 2]"
EG1311,Design and Make,"[1, 2]"
EG1611,Engineering Co-Op Immersion Programme I,"[3, 4]"
EG2401A,Engineering Professionalism,"[1, 2]"
EG2605,Undergraduate Research Opportunities Programme,"[1, 2, 3, 4]"
EG2606A,Independent Work,"[1, 2, 3, 4]"
EG2606B,Independent Work,"[1, 2, 4]"
EG2620,Engineering Co-Op Immersion Programme II,"[3, 4]"
EG3301R,Ideas to Proof-of-Concept,"[1, 2]"
EG3611,Industrial Attachment,"[1, 3]"
EG3611A,Industrial Attachment,"[1, 2, 3, 4]"
EG3611B,Industrial Attachment,"[1, 3]"
EG3612,Vacation Industrial Attachment,"[3, 4]"
EG4301,DCP Dissertation,[1]
EG5911R,Information Literacy Skills for Research,"[1, 2]"
EL1101E,The Nature of Language,"[1, 2]"
EL2101,Structure of Sentences and Meanings,[2]
EL2102,Sound Patterns in Language,[1]
EL2111,Historical Variation in English,[2]
EL2151,Social Variation in English,[1]
EL2207,Speech and Language Disorders,[2]
EL3201,Syntax,[2]
EL3206,Psycholinguistics,[1]
EL3214,Language Documentation,[1]
EL3216,Language and the Internet,[1]
EL3251,"Language, Society and Identity",[2]
EL3254,"Media, Discourse and Society",[2]
EL3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
EL3551R,FASS Undergraduate Research Opportunity (UROP),[1]
EL4213,Language Typology,[2]
EL4213HM,Language Typology,[2]
EL4216,Lexicology and Lexicography,[2]
EL4216HM,Lexicology and Lexicography,[2]
EL4252,Interactional Discourse,[1]
EL4252HM,Interactional Discourse,[1]
EL4253,"Language, Gender and Sexual Identities",[1]
EL4253HM,"Language, Gender and Sexual Identities",[1]
EL4254,"Language, Ideology and Power",[2]
EL4254HM,"Language, Ideology and Power",[2]
EL4255,English as a World Language,[1]
EL4255HM,English as a World Language,[1]
EL4401,Honours Thesis,"[1, 2]"
EL4401HM,Honours Thesis,"[1, 2]"
EL4660,Independent Study,"[1, 2]"
EL4660HM,Independent Study,"[1, 2]"
EL5101,Grammatical Analysis,[2]
EL5101R,Grammatical Analysis,[2]
EL5102,Phonetics and Phonology,[1]
EL5102R,Phonetics and Phonology,[1]
EL5103,Language in Society,[2]
EL5103R,Language in Society,[2]
EL5203R,Sociophonetics,[1]
EL5206R,Advanced Psycholinguistics,[1]
EL5212R,History of English,[2]
EL5216R,Corpus Linguistics,[2]
EL5253R,Textual Construction of Knowledge,[1]
EL5660,Independent Study,"[1, 2]"
EL6660,Independent Study,"[1, 2]"
EL6880,Topics in Grammatical Theory,[2]
EL6881,Topics in Language and Cognition,"[1, 2]"
EL6882,Topics in Language and Society,[1]
ELC5104,Approaches to Language,[1]
ELC5203,Sociophonetics,[1]
ELC5206,Advanced Psycholinguistics,[1]
ELC5207,Second Language Acquisition and Processing,[2]
ELC5212,History of English,[2]
ELC5216,Corpus Linguistics,[2]
ELC5253,Textual Construction of Knowledge,[1]
EM1180,Foundations in Communicating about Music,[1]
EM1201,English for Academic Purposes (Music) 1,[1]
EM1202,English for Academic Purposes (Music) 2,"[1, 2]"
EN1101E,An Introduction to Literary Studies,"[1, 2]"
EN2201,Backgrounds to Western Literature and Culture,[2]
EN2202,Critical Reading,[1]
EN2203,Introduction to Film Studies,[2]
EN2206,The Arts and Social Justice,[2]
EN2207,Gender and Sexuality in Literature,[1]
EN2209,Literature and Culture in Ancient Rome,[1]
EN2210,Poetry and Poetics,[2]
EN2277,Love's Word: Reading across Literature and Philosophy,[1]
EN3220,From the “Age of Epic” to the “Age of TV”,[2]
EN3221,The English Renaissance,[2]
EN3224,The Twentieth Century,[1]
EN3227,Romanticism,[1]
EN3242,History of Film,[1]
EN3248,Reading the Horror Film,[1]
EN3253,Strange Times: Issues in Contemporary Literature,[2]
EN3254,Worldly Words: Written Image and Visual Text,[2]
EN3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
EN4222,Topics in the Eighteenth Century,[1]
EN4222HM,Topics in the Eighteenth Century,[1]
EN4232,Topics in American Literature,[1]
EN4232HM,Topics in American Literature,[1]
EN4265,Approaches to World Literature: Critical Realism,[2]
EN4265HM,Approaches to World Literature: Critical Realism,[2]
EN4266,South Asian Literatures in English,[1]
EN4266HM,South Asian Literatures in English,[1]
EN4269,Ovid the Innovator: Advanced Ancient Roman Poetry,[2]
EN4269HM,Ovid the Innovator: Advanced Ancient Roman Poetry,[2]
EN4401,Honours Thesis,"[1, 2]"
EN4401HM,Honours Thesis,"[1, 2]"
EN4660,Independent Study,"[1, 2]"
EN4660HM,Independent Study,"[1, 2]"
EN4880A,"Usurpation and Authority, 1558-1674",[2]
EN4880AHM,"Usurpation and Authority, 1558-1674",[2]
EN5232R,Ideological Approaches to Literature,[2]
EN5238R,Twentieth Century Literature,[1]
EN5239R,Literature of the Anglophone Chinese Diaspora,[1]
EN5241,Literature and New Worlds: 1590-1750,[1]
EN5241R,Literature and New Worlds: 1590-1750,[1]
EN5242R,Women Novelists,[2]
EN5247R,"Victorian Literature: History, Politics, Culture",[1]
EN5253R,Writing in the Aftermath,[2]
EN5660,Independent Study,"[1, 2]"
EN5880AR,Literature and the Environment,[2]
EN5883R,Screen Culture in Southeast Asia,[2]
EN6102,Advanced Critical Reading,[2]
EN6660,Independent Study,"[1, 2]"
EN6880,Topics in the New Literatures,"[1, 2]"
EN6881,Topics in Literary History,"[1, 2]"
EN6882,Advanced Topics in Cultural Studies,[2]
ENC5149,Literary Studies: Overview and Writing Practices,[1]
ENC5150,Survey of the Discipline: Methods and Approaches,[1]
ENC5151,Global Anglophone Literature,[2]
ENC5232,Ideological Approaches to Literature,[2]
ENC5238,Twentieth Century Literature,[1]
ENC5239,Literature of the Anglophone Chinese Diaspora,[1]
ENC5242,Women Novelists,[2]
ENC5247,"Victorian Literature: History, Politics, Culture",[1]
ENC5253,Writing in the Aftermath,[2]
ENC5880A,Literature and the Environment,[2]
ENC5883,Screen Culture in Southeast Asia,[2]
ENV1101,Environmental Studies: An Interdisciplinary Overview,[1]
ENV2102,Environmental Law,[2]
ENV2103,The Environment and Public Health,[1]
ENV2288,Basic UROP in Environmental Studies I,"[1, 2]"
ENV2289,Basic UROP in Environmental Studies II,"[1, 2]"
ENV2301,Methods and Techniques for Environmental Studies,[1]
ENV2302,Communications for Environmental Studies,[1]
ENV3101,Environmental Challenges in Asia,[1]
ENV3102,Field Course in Environmental Studies,[3]
ENV3104,Socio-Ecological Assessment of Environmental Impacts,[2]
ENV3202A,Environmental Studies Internship Programme,"[3, 4]"
ENV3206,Evaluating Environmental Sustainability,[1]
ENV3288,Advanced UROP in Environmental Studies I,"[1, 2]"
ENV3288R,Advanced UROP in Environmental Studies I (REx),"[1, 2]"
ENV3289,Advanced UROP in Environmental Studies II,"[1, 2]"
ENV3289R,Advanced UROP in Environmental Studies II (REx),[2]
ENV4101,Environmental Management in Singapore,[2]
ES1000,Foundation Academic English,"[1, 2]"
ES1103,English for Academic Purposes,"[1, 2, 3]"
ES2002,Business Communication for Leaders (BBA),"[1, 2]"
ES2631,Critique and Communication of Thinking and Design,"[1, 2]"
ES2660,Communicating in the Information Age,"[1, 2]"
ES5000,Graduate English I,"[1, 2]"
ES5001A,Graduate English II,"[1, 2]"
ESE2000,Chemistry for an Environmentally Sustainable Future,[1]
ESE2001,Environmental Challenges in the Anthropocene,[1]
ESE2101,Environmental Engineering Principles and Practice,[1]
ESE2102,Principles & Practice in Environmental Monitoring,[2]
ESE3101,Resource Management and Circular Economy,[2]
ESE3201,Air Quality in Changing Environments,[1]
ESE3301,Microbiology in Natural and Built Environments,[2]
ESE3401,Sustainable Urban Water Technologies,[1]
ESE4401,Water & Wastewater Engineering 2,[2]
ESE4408,Environmental Impact Assessment,[2]
ESE4501,Design Project,[1]
ESE4501R,Design Project,"[1, 2]"
ESE4502N,Final Year Project,[2]
ESE4502R,B. Eng. Dissertation,"[1, 2]"
ESE5001,Environmental Engineering Principles,"[1, 2]"
ESE5001AB,Environmental Engineering Principles,"[1, 2]"
ESE5003,Environmental Chemical Processes Analysis,[1]
ESE5004,Research Project,"[1, 2]"
ESE5202,Air Pollution Control Technology,[2]
ESE5202AB,Air Pollution Control Technology,[2]
ESE5203,Aerosol Science and Technology,[2]
ESE5204,Toxic and Hazardous Waste Management,[2]
ESE5204AB,Toxic and Hazardous Waste Management,[2]
ESE5205,Sludge and Solid Waste Management,[2]
ESE5301,Environmental Microbiology and Biotechnology,[1]
ESE5404,Biological Treatment Processes,[1]
ESE5666,Industrial Attachment,"[1, 2]"
ESE5880A,Topics in Environmental Engineering: Chem. & Lab Safety,[1]
ESE5880AB,Chem. & Lab Safety,[1]
ESE5880C,Topics in Env. Eng. - Environ Sys Planning & Analysis,[2]
ESE5901,Environmental Technology,[2]
ESE5999,Graduate Seminars,"[1, 2]"
ESE6003,Advanced Environmental Chemical Process Analysis,[1]
ESE6301,Advanced Environmental Microbiology and Biotechnology,[1]
ESE6999,Doctoral Seminars,"[1, 2]"
ESP1111,Engineering Principles In-Action,[1]
ESP2106,Principles of Continua,[1]
ESP2107,Numerical Methods and Statistics,[1]
ESP2110,Design Project,[2]
ESP2111,Sensor System Electronics,[2]
ESP3201,Machine Learning in Robotics and Engineering,[1]
ESP3903,Major Design Project 2,[1]
ESP4401,Optimization of Energy Systems,[2]
ESP4901,Research Project,"[1, 2]"
ETP2271,Discovering Resilience and Purpose,"[1, 2, 3, 4]"
ETP3121,Startup Ecosystem Exposure,"[1, 2]"
ETP3201I,Innovation & Enterprise Internship,"[1, 2]"
ETP3201L,Innovation & Enterprise Internship,"[1, 2]"
ETP3201S,Innovation & Enterprise Internship,"[1, 2]"
ETP3201T,Innovation & Enterprise Internship,[2]
ETP3202E,Innovation & Enterprise Case Study & Analysis,"[1, 2]"
ETP3202I,Innovation & Enterprise Case Study & Analysis,"[1, 2]"
ETP3202L,Innovation & Enterprise Case Study & Analysis,"[1, 2]"
ETP3202P,Innovation & Enterprise Case Study & Analysis,"[1, 2]"
ETP3202S,Innovation & Enterprise Case Study & Analysis,[2]
ETP3203L,Innovation & Enterprise Internship Practicum,"[1, 2]"
ETP3204S,Innovation & Enterprise Internship Practicum,"[1, 2]"
ETP3204T,Innovation & Enterprise Internship Practicum,[2]
ETP3205,Innovation & Enterprise Internship,"[2, 3, 4]"
ETP3206L,Innovation & Enterprise Internship,"[1, 2]"
ETP3211,New Venture Creation,"[1, 2]"
ETP4212,Venture Creation: Process and Mindset,"[1, 2]"
ETP5201,Innovation & Enterprise Internship,"[1, 2]"
ETP5301,Innovation & Enterprise Internship,[1]
ETP5311,GRIP Venture Creation Practicum,[2]
ETP5322,Agile Venture Leadership,"[2, 3]"
ETP5331,Intellectual Property Basics for Entrepreneurs,"[1, 2]"
ETP5341,New Venture Finance,"[1, 2]"
ETP5381,Carbon Market & Sustainable Financing,"[1, 2]"
EU3224,Social Thought & Social Theory,"[1, 2]"
FAS1101,Writing Academically: Arts and Social Sciences,"[1, 2]"
FAS2551,FASS Internship,"[1, 2]"
FAS2551A,FASS Internship II,"[1, 2]"
FAS2552,FASS Extended Internship,"[1, 2]"
FAS2552A,FASS Extended Internship II,"[1, 2]"
FAS2553,FASS Work Experience Internship,"[3, 4]"
FAS2553A,FASS Work Experience Internship II,"[3, 4]"
FAS3550,FASS Industry Seminar,[2]
FAS3551,FASS Capstone Career Preparation,[2]
FDP2011,"Special Mathematics Class 1, 2","[1, 2]"
FDP2012,Special Mathematics Class 3,[2]
FDP2021,"Special Physics Class 1, 2","[1, 2]"
FDP2022,Special Physics Class 3,[2]
FE5101,Derivatives And Fixed Income,[1]
FE5103,Equity Products and Exotics,[2]
FE5105,Corporate Financing and Risk,"[1, 4]"
FE5107,Risk Analyses And Management,[2]
FE5108,Portfolio Theory And Investments,[1]
FE5110,Financial Engineering Project,"[1, 2, 4]"
FE5111,Graduate Internship in Financial Engineering,"[1, 2]"
FE5112,Stochastic Calculus and Quantitative Methods,"[1, 4]"
FE5116,Programming and Advanced Numerical Methods,"[2, 4]"
FE5208,Term Structure and Interest Rate Derivatives,[2]
FE5209,Financial Econometrics,"[1, 4]"
FE5210,Research Methods in Finance,[2]
FE5211,Seminar In Financial Engineering,[4]
FE5212,Sustainable Finance Risk Management (SFRM),[1]
FE5213,Quantitative Macroeconomics and Finance with Python,[2]
FE5214,Introduction to Quantitative Investing,[2]
FE5216,Financial Technology Innovations Seminar,[4]
FE5221,Trading Principles & Fundamentals,[1]
FE5222,Advanced Derivatives Pricing,[1]
FE5223,Introduction to Electronic Financial Market,[1]
FE5224,Current Topics In Applied Risk Management,[2]
FE5225,Machine Learning and FinTech,[2]
FE5226,C++ in Financial Engineering,[1]
FE5227,Commodities: Fundamentals and Modelling,[2]
